team,conference,record,fbs_record,rating,football_rating,market_rating,market_gap,rating_confidence,early_season_rating_scale,efficiency_score,market_score,schedule_score,avg_team_postgame_elo,fbs_win_pct,fbs_avg_margin,fbs_avg_opponent_pregame_elo,avg_cover_margin,offense_ppa,defense_ppa_allowed,wepa_total,wepa_allowed_total,talent,ap_latest_rank,cfp_latest_rank
Arkansas,SEC,1-2,0-2,-3.76,-5.39,-1.3,4.08,Medium,1.0,35.25,100.0,35.19,1501.0,0.0,-30.5,1882.5,-15.722,0.038302,0.228555,0.0,0.0,745.48,,
Colorado,Big 12,2-1,1-1,-4.13,-6.19,-1.03,5.16,Medium,1.0,51.58,91.17,35.24,1380.0,0.5,-16.5,1556.0,-10.167,0.141033,0.036124,0.0,0.0,731.62,,
Tulsa,American Athletic,3-0,2-0,-4.31,-2.02,-7.75,-5.72,Medium,1.0,62.71,46.18,48.19,1272.0,1.0,10.0,1202.0,7.278,0.166622,-0.12213,0.0,0.0,622.84,,
Syracuse,ACC,1-2,0-2,-4.32,-5.74,-2.2,3.54,Medium,1.0,54.36,61.6,42.16,1288.33,0.0,-8.5,1513.5,5.889,0.038378,-0.126275,0.0,0.0,745.61,,
Louisiana,Sun Belt,2-1,1-1,-4.42,-3.45,-5.88,-2.43,Medium,1.0,63.19,37.9,50.37,1391.0,0.5,-6.0,1619.0,7.444,0.20218,-0.06258,0.0,0.0,590.94,,
Washington State,Pac-12,1-2,0-2,-4.44,-4.02,-5.07,-1.05,Medium,1.0,43.6,49.98,36.85,1556.67,0.0,-20.5,1680.0,0.833,-0.01679,-0.033702,0.0,0.0,630.29,,
Rutgers,Big Ten,0-3,0-3,-4.58,-7.19,-0.67,6.53,Medium,1.0,37.06,92.19,42.64,1381.0,0.0,-10.0,1395.0,-11.778,0.028626,0.223311,0.0,0.0,709.04,,
Purdue,Big Ten,1-2,0-2,-4.68,-4.45,-5.03,-0.59,Medium,1.0,51.73,75.16,42.2,1318.33,0.0,-8.0,1501.5,-3.278,0.331617,0.340518,0.0,0.0,698.33,,
UConn,FBS Independents,2-1,1-1,-4.69,-2.63,-7.79,-5.16,Medium,1.0,66.15,29.14,46.63,1457.0,0.5,2.0,1354.5,13.389,0.267187,-0.025697,0.0,0.0,652.56,,
East Carolina,American Athletic,1-2,1-2,-4.85,-5.25,-4.23,1.02,Medium,1.0,32.95,64.61,42.42,1465.0,0.3333,-12.667,1445.667,-4.667,-0.032752,0.073153,0.0,0.0,623.79,,
Navy,American Athletic,1-1,0-1,-4.88,-8.02,-0.17,7.86,Low,1.0,67.65,24.27,23.51,1531.5,0.0,-8.0,1189.0,-8.25,0.319771,0.147062,0.0,0.0,195.68,,
Marshall,Sun Belt,2-1,2-1,-4.99,-5.5,-4.22,1.28,Medium,1.0,29.38,75.88,43.17,1389.33,0.6667,-12.333,1454.0,-10.0,0.058068,0.326169,0.0,0.0,594.71,,
App State,Sun Belt,3-0,2-0,-5.01,-4.46,-5.85,-1.4,Medium,1.0,68.55,38.61,47.25,1319.67,1.0,4.0,1322.5,9.889,0.278553,0.002467,0.0,0.0,621.61,,
Florida International,Conference USA,1-2,1-2,-5.02,-3.85,-6.78,-2.93,Medium,1.0,42.48,49.91,54.34,1395.33,0.3333,-1.0,1424.333,2.611,-0.011326,-0.00856,0.0,0.0,607.56,,
Temple,American Athletic,1-2,0-2,-5.11,-3.49,-7.53,-4.04,Medium,1.0,45.77,46.84,51.73,1321.67,0.0,-9.5,1729.5,6.5,0.2065,0.196889,0.0,0.0,631.07,,
South Alabama,Sun Belt,2-1,1-1,-5.3,-3.95,-7.34,-3.39,Medium,1.0,45.87,41.4,48.3,1391.33,0.5,0.5,1424.5,4.944,0.236348,0.252747,0.0,0.0,573.38,,
Troy,Sun Belt,2-1,1-1,-5.31,-3.61,-7.87,-4.26,Medium,1.0,45.61,55.45,43.71,1419.0,0.5,-3.5,1426.5,-0.944,0.090126,-0.00264,0.0,0.0,596.19,,
Boston College,ACC,2-1,1-1,-5.53,-6.18,-4.55,1.63,Medium,1.0,40.5,90.17,41.1,1376.33,0.5,-6.0,1430.5,-13.167,-0.038391,0.033081,0.0,0.0,660.0,,
Delaware,Conference USA,2-1,1-1,-5.58,-3.46,-8.78,-5.32,Medium,1.0,53.71,28.63,51.45,1409.67,0.5,-0.5,1511.5,6.111,0.10668,-0.017158,0.0,0.0,483.48,,
Jacksonville State,Conference USA,2-2,1-2,-5.74,-6.32,-4.87,1.45,Medium,1.0,60.94,53.48,38.88,1428.25,0.3333,-8.0,1392.333,0.125,0.209857,0.022053,0.0,0.0,602.83,,
Air Force,Mountain West,1-1,0-1,-5.77,-7.14,-3.7,3.44,Low,1.0,81.07,19.69,43.44,1423.5,0.0,-6.0,1566.0,-0.417,0.316872,-0.079004,0.0,0.0,272.35,,
Colorado State,Pac-12,2-1,1-1,-6.41,-4.88,-8.72,-3.84,Medium,1.0,59.98,37.71,54.73,1330.0,0.5,2.0,1523.0,11.056,0.259095,0.062632,0.0,0.0,640.31,,
Georgia Southern,Sun Belt,1-2,0-2,-6.43,-5.64,-7.62,-1.98,Medium,1.0,50.52,54.51,39.59,1364.33,0.0,-9.5,1483.5,2.333,0.051756,-0.045045,0.0,0.0,634.19,,
Utah State,Pac-12,0-3,0-2,-6.54,-4.34,-9.84,-5.5,Medium,1.0,25.28,55.04,46.99,1368.33,0.0,-17.5,1818.0,-2.444,-0.137512,0.085273,0.0,0.0,543.98,,
Middle Tennessee,Conference USA,2-1,1-1,-6.7,-3.66,-11.27,-7.61,Medium,1.0,54.78,39.79,50.6,1283.67,0.5,2.5,1425.5,7.5,0.223016,0.068423,0.0,0.0,571.5,,
Oregon State,Pac-12,1-2,0-2,-7.02,-6.63,-7.6,-0.97,Medium,1.0,46.28,34.79,46.75,1268.0,0.0,-12.0,1689.0,13.278,0.239834,0.179041,0.0,0.0,635.79,,
Georgia State,Sun Belt,2-1,1-1,-7.12,-4.31,-11.34,-7.03,Medium,1.0,65.04,24.16,47.35,1267.33,0.5,0.0,1420.5,15.167,0.255633,0.062758,0.0,0.0,573.83,,
San José State,Mountain West,2-2,1-2,-7.16,-5.51,-9.62,-4.11,Medium,1.0,44.12,48.13,46.84,1404.75,0.3333,-8.667,1566.0,1.375,0.082209,0.066097,0.0,0.0,569.25,,
Florida Atlantic,American Athletic,2-1,2-1,-7.25,-8.06,-6.04,2.02,Medium,1.0,36.85,64.64,48.23,1219.33,0.6667,-10.333,1507.0,-1.833,0.078679,0.21934,0.0,0.0,593.36,,
Coastal Carolina,Sun Belt,1-2,0-2,-7.55,-5.65,-10.4,-4.74,Medium,1.0,61.02,48.14,36.97,1269.0,0.0,-7.5,1385.5,4.0,0.231316,0.042439,0.0,0.0,573.96,,
Stanford,ACC,1-2,1-2,-7.76,-9.45,-5.24,4.21,Medium,1.0,27.98,87.05,45.75,1359.33,0.3333,-19.0,1642.333,-9.167,0.075214,0.296708,0.0,0.0,705.81,,
Louisiana Tech,Sun Belt,1-2,0-2,-8.02,-6.83,-9.81,-2.98,Medium,1.0,38.94,22.04,29.94,1412.0,0.0,-24.0,1625.5,12.056,0.01477,-0.011792,0.0,0.0,543.02,,
Hawai'i,Mountain West,1-2,1-2,-8.13,-9.69,-5.77,3.92,Medium,1.0,35.12,59.34,48.97,1435.67,0.3333,-5.0,1407.667,-5.0,0.032941,0.129664,0.0,0.0,556.82,,
Ohio,Mid-American,1-2,1-2,-8.25,-7.82,-8.9,-1.08,Medium,1.0,32.72,50.84,45.25,1318.67,0.3333,-10.333,1452.333,-0.667,0.176045,0.373149,0.0,0.0,522.84,,
UAB,American Athletic,1-2,1-2,-8.26,-6.86,-10.35,-3.49,Medium,1.0,44.49,52.58,43.32,1402.33,0.3333,-6.667,1340.333,1.167,0.014824,0.072872,0.0,0.0,606.18,,
Old Dominion,Sun Belt,1-2,0-2,-8.31,-9.46,-6.59,2.87,Medium,1.0,37.67,74.51,33.48,1306.67,0.0,-13.0,1441.5,-10.389,-0.072074,-0.076754,0.0,0.0,544.25,,
Miami (OH),Mid-American,1-2,0-2,-8.63,-8.93,-8.18,0.75,Medium,1.0,49.5,69.83,25.5,1258.0,0.0,-24.5,1546.0,-3.556,0.259078,0.200261,0.0,0.0,621.37,,
Arkansas State,Sun Belt,1-2,0-2,-9.16,-9.67,-8.39,1.28,Medium,1.0,49.15,56.85,30.5,1340.33,0.0,-21.0,1568.0,0.278,0.120036,0.194187,0.0,0.0,606.22,,
Massachusetts,Mid-American,3-0,1-0,-10.24,-6.06,-16.51,-10.45,Low,1.0,77.12,30.88,60.63,1058.0,1.0,16.0,1479.0,13.389,0.28685,-0.146731,0.0,0.0,525.94,,
