week,team,opponent,site,team_rating,opponent_rating,projected_spread,favorite,favorite_spread,win_probability
13,Western Kentucky,Kennesaw State,home,-7.07,-8.18,3.61,Western Kentucky,3.61,0.5893
1,Western Michigan,Michigan,away,-8.82,14.64,-25.96,Michigan,25.96,0.0523
2,Western Michigan,Monmouth (FCS baseline),home,-8.82,-18.0,11.68,Western Michigan,11.68,0.7673
3,Western Michigan,Rice,away,-8.82,-12.69,1.37,Western Michigan,1.37,0.5341
4,Western Michigan,Boise State,home,-8.82,5.3,-11.62,Boise State,11.62,0.2338
5,Western Michigan,Buffalo,away,-8.82,-9.82,-1.5,Buffalo,1.5,0.4627
6,Western Michigan,Kent State,home,-8.82,-25.57,19.25,Western Michigan,19.25,0.8855
7,Western Michigan,Central Michigan,away,-8.82,-12.93,1.61,Western Michigan,1.61,0.5401
8,Western Michigan,Toledo,away,-8.82,0.68,-12.0,Toledo,12.0,0.2266
9,Western Michigan,Bowling Green,home,-8.82,-13.81,7.49,Western Michigan,7.49,0.6802
11,Western Michigan,Akron,away,-8.82,-21.45,10.13,Western Michigan,10.13,0.7367
12,Western Michigan,Eastern Michigan,home,-8.82,-13.09,6.77,Western Michigan,6.77,0.6639
13,Western Michigan,Miami (OH),home,-8.82,-5.8,-0.52,Miami (OH),0.52,0.487
1,Wisconsin,Notre Dame,neutral,3.95,23.71,-19.76,Notre Dame,19.76,0.1084
2,Wisconsin,Western Illinois (FCS baseline),home,3.95,-18.0,24.45,Wisconsin,24.45,0.9368
3,Wisconsin,Eastern Michigan,home,3.95,-13.09,19.54,Wisconsin,19.54,0.889
4,Wisconsin,Penn State,away,3.95,17.74,-16.29,Penn State,16.29,0.1543
5,Wisconsin,Michigan State,home,3.95,1.96,4.49,Wisconsin,4.49,0.6105
7,Wisconsin,UCLA,away,3.95,0.51,0.94,Wisconsin,0.94,0.5234
8,Wisconsin,USC,home,3.95,17.94,-11.49,USC,11.49,0.2363
9,Wisconsin,Iowa,away,3.95,14.2,-12.75,Iowa,12.75,0.2128
10,Wisconsin,Rutgers,home,3.95,2.19,4.26,Wisconsin,4.26,0.605
11,Wisconsin,Maryland,away,3.95,0.42,1.03,Wisconsin,1.03,0.5257
12,Wisconsin,Purdue,away,3.95,-0.92,2.37,Wisconsin,2.37,0.5589
13,Wisconsin,Minnesota,home,3.95,0.77,5.68,Wisconsin,5.68,0.6387
1,Wyoming,Colorado State,away,-7.1,-8.04,-1.56,Colorado State,1.56,0.4612
2,Wyoming,Northern Colorado (FCS baseline),home,-7.1,-18.0,13.4,Wyoming,13.4,0.7988
3,Wyoming,Central Michigan,away,-7.1,-12.93,3.33,Wyoming,3.33,0.5824
4,Wyoming,Hawai'i,home,-7.1,-6.15,1.55,Wyoming,1.55,0.5386
5,Wyoming,North Dakota State (unrated FBS baseline),away,-7.1,-12.0,2.4,Wyoming,2.4,0.5596
6,Wyoming,San José State,away,-7.1,-6.54,-3.06,San José State,3.06,0.4242
7,Wyoming,Northern Illinois,home,-7.1,-14.94,10.34,Wyoming,10.34,0.7409
8,Wyoming,Air Force,home,-7.1,-7.59,2.99,Wyoming,2.99,0.5741
10,Wyoming,UNLV,away,-7.1,0.52,-10.12,UNLV,10.12,0.2635
11,Wyoming,UTEP,away,-7.1,-12.66,3.06,Wyoming,3.06,0.5758
12,Wyoming,New Mexico,home,-7.1,-5.44,0.84,Wyoming,0.84,0.5209
13,Wyoming,UConn,home,-7.1,-4.98,0.38,Wyoming,0.38,0.5095
