team,conference,record,fbs_record,rating,football_rating,market_rating,market_gap,rating_confidence,early_season_rating_scale,efficiency_score,market_score,schedule_score,avg_team_postgame_elo,fbs_win_pct,fbs_avg_margin,fbs_avg_opponent_pregame_elo,avg_cover_margin,offense_ppa,defense_ppa_allowed,wepa_total,wepa_allowed_total,talent,ap_latest_rank,cfp_latest_rank
Louisiana,Sun Belt,2-1,1-1,-4.46,-3.45,-5.98,-2.53,Medium,1.0,63.84,36.87,50.05,1391.0,0.5,-6.0,1619.0,7.444,0.20218,-0.06258,0.0,0.0,590.94,,
UConn,FBS Independents,2-1,1-1,-4.58,-2.63,-7.5,-4.87,Medium,1.0,66.39,27.96,46.15,1457.0,0.5,2.0,1354.5,13.389,0.267187,-0.025697,0.0,0.0,652.56,,
Rutgers,Big Ten,0-3,0-3,-4.64,-7.19,-0.82,6.37,Medium,1.0,37.36,91.7,42.71,1381.0,0.0,-10.0,1395.0,-11.778,0.028626,0.223311,0.0,0.0,709.04,,
Purdue,Big Ten,1-2,0-2,-4.73,-4.45,-5.15,-0.7,Medium,1.0,51.72,74.0,41.84,1318.33,0.0,-8.0,1501.5,-3.278,0.331617,0.340518,0.0,0.0,698.33,,
East Carolina,American Athletic,1-2,1-2,-4.88,-5.25,-4.32,0.93,Medium,1.0,33.18,64.43,42.55,1465.0,0.3333,-12.667,1445.667,-4.667,-0.032752,0.073153,0.0,0.0,623.79,,
Navy,American Athletic,1-1,0-1,-4.92,-8.02,-0.26,7.76,Low,1.0,67.55,25.68,22.84,1531.5,0.0,-8.0,1189.0,-8.25,0.319771,0.147062,0.0,0.0,195.68,,
Marshall,Sun Belt,2-1,2-1,-4.97,-5.5,-4.17,1.34,Medium,1.0,29.62,75.69,43.3,1389.33,0.6667,-12.333,1454.0,-10.0,0.058068,0.326169,0.0,0.0,594.71,,
Florida International,Conference USA,1-2,1-2,-5.02,-3.85,-6.76,-2.91,Medium,1.0,42.59,49.04,54.35,1395.33,0.3333,-1.0,1424.333,2.611,-0.011326,-0.00856,0.0,0.0,607.56,,
App State,Sun Belt,3-0,2-0,-5.06,-4.46,-5.96,-1.5,Medium,1.0,68.72,37.12,46.73,1319.67,1.0,4.0,1322.5,9.889,0.278553,0.002467,0.0,0.0,621.61,,
Temple,American Athletic,1-2,0-2,-5.1,-3.49,-7.52,-4.03,Medium,1.0,45.99,45.45,51.47,1321.67,0.0,-9.5,1729.5,6.5,0.2065,0.196889,0.0,0.0,631.07,,
South Alabama,Sun Belt,2-1,1-1,-5.33,-3.95,-7.4,-3.45,Medium,1.0,45.8,40.53,47.85,1391.33,0.5,0.5,1424.5,4.944,0.236348,0.252747,0.0,0.0,573.38,,
Troy,Sun Belt,2-1,1-1,-5.35,-3.61,-7.95,-4.35,Medium,1.0,45.72,54.86,43.29,1419.0,0.5,-3.5,1426.5,-0.944,0.090126,-0.00264,0.0,0.0,596.19,,
Delaware,Conference USA,2-1,1-1,-5.49,-3.46,-8.54,-5.08,Medium,1.0,53.89,28.04,51.04,1409.67,0.5,-0.5,1511.5,6.111,0.10668,-0.017158,0.0,0.0,483.48,,
Boston College,ACC,2-1,1-1,-5.55,-6.18,-4.61,1.57,Medium,1.0,40.72,89.76,40.7,1376.33,0.5,-6.0,1430.5,-13.167,-0.038391,0.033081,0.0,0.0,660.0,,
Air Force,Mountain West,1-1,0-1,-5.58,-7.14,-3.24,3.9,Low,1.0,80.99,20.07,42.85,1423.5,0.0,-6.0,1566.0,-0.417,0.316872,-0.079004,0.0,0.0,272.35,,
Jacksonville State,Conference USA,2-2,1-2,-5.86,-6.32,-5.17,1.15,Medium,1.0,61.35,52.95,38.6,1428.25,0.3333,-8.0,1392.333,0.125,0.209857,0.022053,0.0,0.0,602.83,,
Colorado State,Pac-12,2-1,1-1,-6.42,-4.88,-8.74,-3.86,Medium,1.0,60.51,36.09,54.3,1330.0,0.5,2.0,1523.0,11.056,0.259095,0.062632,0.0,0.0,640.31,,
Utah State,Pac-12,0-3,0-2,-6.49,-4.34,-9.72,-5.38,Medium,1.0,25.53,54.52,46.84,1368.33,0.0,-17.5,1818.0,-2.444,-0.137512,0.085273,0.0,0.0,543.98,,
Georgia Southern,Sun Belt,1-2,0-2,-6.56,-5.64,-7.93,-2.29,Medium,1.0,50.38,53.5,39.24,1364.33,0.0,-9.5,1483.5,2.333,0.051756,-0.045045,0.0,0.0,634.19,,
Middle Tennessee,Conference USA,2-1,1-1,-6.6,-3.66,-11.01,-7.35,Medium,1.0,55.02,38.4,50.14,1283.67,0.5,2.5,1425.5,7.5,0.223016,0.068423,0.0,0.0,571.5,,
San José State,Mountain West,2-2,1-2,-7.15,-5.51,-9.6,-4.09,Medium,1.0,44.57,47.49,46.64,1404.75,0.3333,-8.667,1566.0,1.375,0.082209,0.066097,0.0,0.0,569.25,,
Georgia State,Sun Belt,2-1,1-1,-7.15,-4.31,-11.42,-7.12,Medium,1.0,65.04,22.37,46.89,1267.33,0.5,0.0,1420.5,15.167,0.255633,0.062758,0.0,0.0,573.83,,
Oregon State,Pac-12,1-2,0-2,-7.18,-6.63,-8.01,-1.38,Medium,1.0,46.42,32.91,46.49,1268.0,0.0,-12.0,1689.0,13.278,0.239834,0.179041,0.0,0.0,635.79,,
Florida Atlantic,American Athletic,2-1,2-1,-7.25,-8.06,-6.03,2.03,Medium,1.0,36.9,63.41,48.38,1219.33,0.6667,-10.333,1507.0,-1.833,0.078679,0.21934,0.0,0.0,593.36,,
